iter	Passed	Remaining
416	2660	10098
417	2665	10089
418	2671	10080
419	2676	10070
420	2682	10060
421	2688	10052
422	2693	10043
423	2700	10035
424	2705	10027
425	2711	10016
426	2716	10006
427	2722	9997
428	2727	9987
429	2732	9976
430	2737	9966
431	2742	9955
432	2748	9946
433	2754	9937
434	2759	9927
435	2764	9918
436	2770	9908
437	2775	9898
438	2781	9889
439	2786	9880
440	2792	9870
441	2797	9860
442	2802	9851
443	2808	9840
444	2813	9831
445	2819	9824
446	2825	9815
447	2831	9808
448	2836	9798
449	2842	9789
450	2847	9779
451	2852	9769
452	2857	9760
453	2863	9750
454	2868	9740
455	2874	9731
456	2879	9721
457	2884	9712
458	2890	9702
459	2895	9692
460	2900	9683
461	2905	9674
462	2911	9664
463	2916	9655
464	2922	9646
465	2927	9636
466	2933	9628
467	2938	9619
468	2943	9610
469	2949	9602
470	2955	9595
471	2961	9587
472	2967	9580
473	2973	9571
474	2978	9563
475	2984	9555
476	2990	9547
477	2996	9540
478	3002	9532
479	3007	9524
480	3013	9516
481	3019	9508
482	3024	9499
483	3030	9492
484	3037	9486
485	3043	9480
486	3049	9473
487	3054	9465
488	3060	9458
489	3066	9450
490	3072	9443
491	3079	9437
492	3085	9431
493	3091	9425
494	3098	9419
495	3104	9412
496	3110	9405
497	3116	9398
498	3121	9389
499	3127	9383
500	3134	9377
501	3139	9369
502	3145	9362
503	3152	9356
504	3158	9349
505	3164	9343
506	3170	9335
507	3176	9329
508	3182	9322
509	3188	9315
510	3194	9309
511	3201	9303
512	3207	9297
513	3214	9292
514	3219	9284
515	3225	9277
516	3232	9271
517	3238	9264
518	3244	9259
519	3251	9253
520	3257	9247
521	3263	9240
522	3269	9233
523	3275	9227
524	3282	9222
525	3289	9217
526	3295	9210
527	3301	9202
528	3307	9197
529	3313	9191
530	3319	9184
531	3325	9177
532	3331	9170
533	3337	9163
534	3344	9157
535	3349	9149
536	3356	9145
537	3363	9140
538	3369	9134
539	3376	9128
540	3382	9121
541	3388	9115
542	3395	9110
543	3401	9102
544	3407	9096
545	3413	9089
546	3419	9083
547	3435	9103
548	3442	9097
549	3448	9090
550	3454	9085
551	3460	9078
552	3466	9071
553	3473	9065
554	3478	9057
555	3485	9051
556	3491	9044
557	3496	9034
558	3503	9030
559	3510	9026
560	3518	9025
561	3526	9022
562	3534	9020
563	3541	9016
564	3549	9014
565	3556	9011
566	3562	9004
567	3570	9000
568	3576	8995
569	3584	8991
570	3590	8986
571	3602	8993
572	3609	8989
573	3619	8992
574	3627	8989
575	3636	8989
576	3642	8984
577	3649	8979
578	3656	8974
579	3664	8970
580	3671	8967
581	3677	8960
582	3683	8952
583	3689	8945
584	3695	8939
585	3701	8932
586	3707	8925
587	3714	8920
588	3721	8914
589	3727	8906
590	3733	8901
591	3739	8893
592	3745	8886
593	3751	8879
594	3757	8872
595	3764	8868
596	3770	8860
597	3776	8853
598	3782	8847
599	3788	8840
600	3795	8835
601	3801	8828
602	3807	8821
603	3814	8815
604	3820	8810
605	3827	8804
606	3834	8799
607	3840	8793
608	3847	8787
609	3852	8779
610	3859	8773
611	3865	8766
612	3870	8758
613	3877	8752
614	3882	8744
615	3888	8737
616	3894	8730
617	3900	8722
618	3906	8715
619	3912	8709
620	3918	8700
621	3925	8695
622	3931	8689
623	3937	8682
624	3943	8676
625	3950	8670
626	3956	8663
627	3962	8656
628	3968	8649
629	3975	8644
630	3980	8636
631	3986	8629
632	3992	8621
633	3997	8613
634	4004	8608
635	4010	8600
636	4016	8593
637	4023	8589
638	4029	8583
639	4036	8576
640	4042	8571
641	4049	8564
642	4055	8557
643	4062	8553
644	4070	8551
645	4079	8549
646	4125	8627
647	4148	8654
648	4171	8682
649	4178	8677
650	4185	8673
651	4192	8668
652	4200	8663
653	4207	8658
654	4213	8651
655	4223	8652
656	4229	8645
657	4236	8640
658	4243	8635
659	4252	8633
660	4259	8627
661	4265	8621
662	4272	8615
663	4278	8608
664	4285	8602
665	4291	8595
666	4298	8589
667	4305	8584
668	4311	8577
669	4318	8572
670	4324	8566
671	4341	8580
672	4351	8580
673	4363	8584
674	4373	8584
675	4382	8583
676	4390	8579
677	4406	8592
678	4416	8592
679	4423	8587
680	4436	8591
681	4448	8597
682	4456	8593
683	4463	8587
684	4471	8583
685	4480	8582
686	4488	8577
687	4498	8577
688	4506	8574
689	4515	8572
690	4522	8567
691	4530	8562
692	4536	8556
693	4545	8554
694	4553	8550
695	4563	8549
696	4569	8542
697	4575	8535
698	4582	8529
699	4589	8523
700	4597	8519
701	4604	8514
702	4614	8513
703	4620	8506
704	4628	8502
705	4635	8495
706	4642	8490
707	4649	8484
708	4655	8477
709	4663	8472
710	4669	8464
711	4679	8464
712	4685	8457
713	4692	8451
714	4699	8445
715	4705	8438
716	4712	8432
717	4718	8425
718	4727	8422
719	4734	8416
720	4742	8412
721	4748	8405
722	4754	8398
723	4761	8392
724	4768	8385
725	4775	8380
726	4781	8372
727	4789	8367
728	4795	8360
729	4801	8352
730	4807	8346
731	4813	8338
732	4819	8330
733	4825	8322
734	4830	8313
735	4839	8311
736	4845	8304
737	4853	8299
738	4859	8292
739	4865	8283
740	4872	8278
741	4878	8271
742	4885	8264
743	4891	8257
744	4897	8250
745	4908	8251
746	4915	8244
747	4921	8237
748	4927	8229
749	4933	8221
750	4939	8214
751	4945	8206
752	4953	8203
753	4959	8195
754	4965	8188
755	4971	8181
756	4979	8176
757	4988	8173
758	4995	8167
759	5005	8166
760	5012	8160
761	5020	8156
762	5026	8149
763	5034	8145
764	5041	8138
765	5050	8136
766	5057	8130
767	5065	8125
768	5071	8117
769	5077	8110
770	5087	8109
771	5093	8101
772	5103	8100
773	5109	8092
774	5115	8086
775	5121	8078
776	5128	8071
777	5134	8064
778	5140	8056
779	5149	8054
780	5155	8047
781	5162	8040
782	5168	8032
783	5173	8023
784	5180	8017
785	5186	8010
786	5190	8000
787	5198	7995
788	5204	7987
789	5210	7980
790	5216	7973
791	5223	7966
792	5228	7958
793	5234	7950
794	5240	7943
795	5249	7940
796	5255	7933
797	5263	7928
798	5269	7921
799	5280	7921
800	5287	7914
801	5293	7907
802	5300	7900
803	5306	7893
804	5313	7887
805	5319	7880
806	5328	7877
807	5334	7870
808	5341	7863
809	5347	7856
810	5353	7848
811	5360	7842
